judet,id,universitate,specializare,durata_ani,taxa_anuala_lei,salariu_debutant_net,status,descriere,piata_muncii,acte_admitere,costuri_ascunse,perspective_cariera
Argeș,pitesti-upit-auto,UPIT Pitești,Inginerie Auto,4,3800,5000,"Căutat","Pilonul tehnic pentru industria auto din Sud.","Cerere constantă la Mioveni și furnizorii conecși.","Examen Mate","Echipament protecție, diagnoză.","Inginer Proiectant, Manager Calitate."
Argeș,pitesti-upit-drept,UPIT Pitești,Drept,4,3500,3800,"Stabil","Formare juridică pentru administrația publică și mediul privat local.","Piața juridică locală și instituțiile publice.","Dosar + Eseu","Coduri de legi, taxe examinare.","Consilier Juridic, Funcționar Public."
Bihor,oradea-uor-it,U. Oradea,Calculatoare,4,4000,5500,"Trend","Dezvoltare tech rapidă în cel mai dinamic oraș din Vest.","Startup-urile și parcurile industriale din Bihor.","Examen Mate/Info","Hardware, cursuri extra.","DevOps, Software Engineer."
Bihor,oradea-uor-medicina,U. Oradea,Medicină Generală,6,12000,6200,"Sigur","Centru medical modern cu dotări de ultimă oră.","Sistemul sanitar din Nord-Vest și clinici private.","Examen Bio/Chimie","Materiale laborator, atlasuri.","Medic Rezident, Specialist."
Brașov,brasov-unitbv-it,UniTBv Brașov,Informatică,3,4500,6800,"Căutat","Focus pe software și dezvoltare de sisteme inteligente.","Hub-ul tech din Brașov în continuă expansiune.","Examen Mate/Info","Laptop, certificări cloud.","Backend Developer, Data Analyst."
Brașov,brasov-unitbv-auto,UniTBv Brașov,Inginerie Auto,4,4000,5200,"Strategic","Lider național în design și testare auto.","Parteneriate cu industria automotive locală.","Dosar + Interviu","Software CAD, vizite fabrici.","Design Engineer, Test Engineer."
București,it-poli-buc,Politehnica,Calculatoare,4,6000,7500,"Căutat","Cea mai influentă facultate de profil din țară.","Cerere critică în toate sectoarele tech.","Examen Mate/Fizică","Laptop performant, licențe.","AI Architect, Cyber Security."
București,medicina-umfcd,UMF Carol Davila,Medicină,6,15000,6500,"Sigur","Vârful ierarhiei medicale din România.","Angajare garantată în hub-ul medical al Capitalei.","Examen Bio/Chimie","Echipament medical, congrese.","Medic, Cercetător."
București,drept-unibuc,UniBuc Drept,Drept,4,5000,4500,"Saturat","Tradiție și rigoare pentru magistratură și avocatură.","Piață competitivă, orientată spre Barou și INM.","Examen Gândire Critică","Taxe Barou, cursuri extra.","Avocat, Judecător, Notar."
București,ase-cibernetica,ASE București,Cibernetică,3,5000,6000,"Căutat","Analiză de date și programare aplicată în economie.","Bănci, Fintech și corporații globale.","Examen Mate","Software statistic, terminal Bloomberg.","Data Scientist, Business Analyst."
Cluj,it-ubb-cluj,UBB Cluj,Informatică,3,5000,8000,"Elite","Inima ecosistemului tech din Transilvania.","Piața matură din Cluj cu salarii europene.","Examen Mate/Info","Chirie foarte mare, laptop.","Lead Developer, Systems Architect."
