id,destinatie,regiune,pret_cazare,pret_masa,distanta_ref,descriere,atractii,tips
sinaia-prahova,Sinaia,Valea Prahovei,350,150,140,"Perla Carpaților, ideală pentru istorie și schi.","Castelul Peleș, Cota 2000, Parcul Dimitrie Ghica","Evită DN1 sâmbătă dimineața; trenul este de 2 ori mai rapid."
busteni-prahova,Bușteni,Valea Prahovei,300,130,150,"Poarta de intrare către masivul Bucegi.","Sfinxul și Babele, Castelul Cantacuzino, Cascada Urlătoarea","Urcă cu telecabina foarte devreme pentru a evita cozile de 2 ore."
predeal-brasov,Predeal,Valea Prahovei,320,140,160,"Cea mai înaltă așezare urbană din România.","Pârtia Clăbucet, Canionul Șapte Scări, Trei Brazi","Ideal pentru începători la schi și drumeții ușoare de familie."
poiana-brasov,Poiana Brașov,Transilvania,600,250,185,"Cea mai luxoasă stațiune montană din țară.","Pârtia Bradul, Masivul Postăvaru, Centre Spa","Parcarea este limitată; folosește autobuzul care urcă din Brașov."
brasov-city,Brașov,Transilvania,400,180,175,"Oraș medieval cu atmosferă boemă și istorie bogată.","Biserica Neagră, Piața Sfatului, Muntele Tâmpa","Urcă pe Tâmpa la apus pentru cea mai bună poză cu orașul."
bran-brasov,Bran,Transilvania,350,150,190,"Faimos pentru legenda lui Dracula și peisajele montane.","Castelul Bran, Muzeul Satului Brănean, Prăpăstiile Zărneștilor","Vizitează castelul în timpul săptămânii pentru a evita grupurile mari."
moieciu-sus,Moieciu de Sus,Transilvania,280,120,200,"Agroturism autentic la poalele munților Bucegi.","Complex Cheile Grădiștei, trasee ecoturism, peisaje alpine","Cumpără brânză în coajă de brad direct de la localnici."
fundata-brasov,Fundata,Transilvania,380,140,210,"Cea mai înaltă comună din România, aer extrem de curat.","Observatorul astronomic, trasee de bicicletă, vederi spre Piatra Craiului","Vremea se schimbă rapid; ia haine groase chiar și vara."
sighisoara-mures,Sighișoara,Transilvania,350,160,290,"Ultima cetate medievală locuită din Europa.","Turnul cu Ceas, Scara Școlarilor, Casa Vlad Dracul","Urcă în Turnul cu Ceas pentru o panoramă circulară a cetății."
sibiu-city,Sibiu,Transilvania,420,200,280,"Capitală culturală cu piețe largi și arhitectură germanică.","Piața Mare, Podul Minciunilor, Muzeul Astra","Muzeul Astra necesită o zi întreagă; este cel mai mare muzeu în aer liber."
